,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
318091,2019-11-12 00:00:00-05:00,KMI,20.07,13983329.0,45.347729605941225,20.232997142824065,20.05800000000002,19.883002857175978,0.7362718065476802,Energy,Kinder Morgan Inc.,10897,New York Stock Exchange
319215,2019-11-12 00:00:00-05:00,KLAC,174.42,959061.0,62.134490291269195,175.61846207063962,173.50600000000003,171.39353792936043,1.3796628045198027,Technology,KLA-Tencor Corporation,6550,Nasdaq Global Select
320339,2019-11-12 00:00:00-05:00,KSS,56.45,4385958.0,64.3106813295022,58.30842679562388,56.32600000000001,54.343573204376135,0.6130800005229272,Consumer Cyclical,Kohl's Corporation,137000,New York Stock Exchange
321463,2019-11-12 00:00:00-05:00,KHC,32.98,6494816.0,75.46094338358755,33.197245829923574,32.89000000000003,32.582754170076484,0.2762895643622573,Consumer Defensive,The Kraft Heinz Company,39000,Nasdaq Global Select
322587,2019-11-12 00:00:00-05:00,KR,27.0,8194032.0,63.07304829198929,27.207941930043262,26.898000000000014,26.588058069956766,0.28976738011746034,Consumer Defensive,Kroger Company (The),449000,New York Stock Exchange
323711,2019-11-12 00:00:00-05:00,LB,17.53,5715149.0,47.19628710320365,18.214706112671653,17.763999999999957,17.31329388732826,0.8528326020229282,Consumer Cyclical,L Brands Inc.,93200,New York Stock Exchange
325959,2019-11-12 00:00:00-05:00,LH,166.12,635829.0,48.83708069522466,168.4796854833631,166.28600000000014,164.09231451663717,0.6836195037405896,Healthcare,Laboratory Corporation of America Holdings,60000,New York Stock Exchange
327083,2019-11-12 00:00:00-05:00,LRCX,270.01,1255710.0,60.94908867173407,276.6325017545321,272.7139999999998,268.79549824546757,0.717372873294349,Technology,Lam Research Corporation,10900,Nasdaq Global Select
328207,2019-11-12 00:00:00-05:00,LW,80.12,1045768.0,68.16852729129991,80.82169132127268,79.52599999999995,78.23030867872723,0.4347973382819809,Consumer Defensive,Lamb Weston Holdings Inc.,7200,New York Stock Exchange
329331,2019-11-12 00:00:00-05:00,LVS,62.48,2915290.0,58.966063774618874,64.45765714142706,63.331999999999915,62.20634285857276,0.7101855416004483,Consumer Cyclical,Las Vegas Sands Corp.,50500,New York Stock Exchange
330455,2019-11-12 00:00:00-05:00,LEG,54.3,1248233.0,80.35748936747822,55.415823827228515,54.67799999999996,53.94017617277141,0.4367966615172152,Consumer Cyclical,Leggett & Platt Incorporated,22500,New York Stock Exchange
331579,2019-11-12 00:00:00-05:00,LDOS,89.01,1112941.0,65.85415021095407,89.68913676615958,87.00199999999998,84.31486323384038,0.48589631879658984,Technology,Leidos Holdings Inc.,31000,New York Stock Exchange
332703,2019-11-12 00:00:00-05:00,LEN,58.52,4055186.0,48.397455244739,59.801055168948814,58.360000000000085,56.918944831051355,0.48527557057031595,Consumer Cyclical,Lennar Corporation Class A,9111,New York Stock Exchange
333827,2019-11-12 00:00:00-05:00,LLY,113.17,2778973.0,55.56387502389886,114.03652550350245,113.21800000000015,112.39947449649785,1.0209413042856688,Healthcare,Eli Lilly and Company,40655,New York Stock Exchange
334951,2019-11-12 00:00:00-05:00,LNC,60.78,1665188.0,53.962850126175596,61.24957958205378,60.56000000000004,59.8704204179463,1.149328862040421,Financial Services,Lincoln National Corporation,9047,New York Stock Exchange
337199,2019-11-12 00:00:00-05:00,LKQ,36.18,2938242.0,78.59091394376422,36.20624417762599,35.42799999999997,34.64975582237395,0.3770227435706739,Consumer Cyclical,LKQ Corporation,43000,Nasdaq Global Select
338323,2019-11-12 00:00:00-05:00,LMT,386.3,980842.0,59.80027440834006,386.80084869601376,381.6160000000001,376.43115130398644,0.5764656909166631,Industrials,Lockheed Martin Corporation,100000,New York Stock Exchange
339447,2019-11-12 00:00:00-05:00,L,50.65,763221.0,52.89433203449676,51.21171346469872,50.81400000000002,50.416286535301325,1.028993548577344,Financial Services,Loews Corporation,18100,New York Stock Exchange
340571,2019-11-12 00:00:00-05:00,LOW,114.32,4477817.0,62.7955147815784,115.22428710318661,113.60800000000003,111.99171289681345,1.0966532277420593,Consumer Cyclical,Lowe's Companies Inc.,310000,New York Stock Exchange
341695,2019-11-12 00:00:00-05:00,LYB,96.58,1371559.0,68.90941223540496,97.7791687374606,97.1419999999999,96.5048312625392,0.5934574835154911,Basic Materials,LyondellBasell Industries NV Class A (Netherlands),13400,New York Stock Exchange
342819,2019-11-12 00:00:00-05:00,MTB,165.48,600967.0,63.37597741725561,167.94945234142816,166.56199999999998,165.1745476585718,0.7560486326001993,Financial Services,M&T Bank Corporation,16760,New York Stock Exchange
343943,2019-11-12 00:00:00-05:00,MAC,27.3,1997512.0,39.79009685114605,29.301605500979882,28.079999999999966,26.85839449902005,0.7794156978926973,Real Estate,Macerich Company (The),855,New York Stock Exchange
345067,2019-11-12 00:00:00-05:00,M,16.08,23581224.0,54.06608920960978,16.26733235583219,16.03999999999999,15.812667644167787,0.82110882972893,Consumer Cyclical,Macy's Inc,130000,New York Stock Exchange
346191,2019-11-12 00:00:00-05:00,MRO,12.01,14337520.0,49.168235255985515,12.724238466895052,12.288,11.851761533104948,0.8218221688201243,Energy,Marathon Oil Corporation,2300,New York Stock Exchange
347315,2019-11-12 00:00:00-05:00,MPC,64.9,6653333.0,52.342700600576784,67.01919125029067,65.47400000000012,63.92880874970955,1.0093198890337012,Energy,Marathon Petroleum Corporation,43800,New York Stock Exchange
348439,2019-11-12 00:00:00-05:00,MKTX,365.93,265860.0,58.49951150524287,369.00890132295234,354.046,339.08309867704764,0.6013760202523708,Financial Services,MarketAxess Holdings Inc.,429,Nasdaq Global Select
349563,2019-11-12 00:00:00-05:00,MAR,132.53,1491837.0,66.50806874100682,133.64243801977727,132.62399999999994,131.6055619802226,0.1700537920567633,Consumer Cyclical,Marriott International,177000,Nasdaq Global Select
350687,2019-11-12 00:00:00-05:00,MMC,104.15,1160781.0,64.14619445528385,104.17447602189401,103.502,102.82952397810598,0.3021010089378322,Financial Services,Marsh & McLennan Companies Inc.,65000,New York Stock Exchange
351811,2019-11-12 00:00:00-05:00,MLM,255.24,534455.0,38.06333371365965,258.0325489487622,256.4619999999997,254.8914510512372,0.3649903653588842,Basic Materials,Martin Marietta Materials Inc.,8406,New York Stock Exchange
352935,2019-11-12 00:00:00-05:00,MAS,46.64,2335216.0,69.4487866567319,46.663486423575804,46.28600000000004,45.90851357642427,0.3427596721736437,Basic Materials,Masco Corporation,26000,New York Stock Exchange
354059,2019-11-12 00:00:00-05:00,MA,277.14,2436418.0,54.54053578716975,279.8271506990758,274.33600000000007,268.84484930092435,0.7595860540005336,Financial Services,Mastercard Incorporated,13400,New York Stock Exchange
355183,2019-11-12 00:00:00-05:00,MKC,161.12,610508.0,50.28652742888835,161.462188575511,160.2,158.93781142448898,0.5236899094003968,Consumer Defensive,McCormick & Company Incorporated,11700,New York Stock Exchange
356307,2019-11-12 00:00:00-05:00,MXIM,58.39,2649454.0,48.8577711632116,60.20532396996843,59.25600000000004,58.30667603003165,0.5278155602530263,Technology,Maxim Integrated Products Inc.,7149,Nasdaq Global Select
357431,2019-11-12 00:00:00-05:00,MCD,193.28,3282644.0,39.035945752602956,194.39263230175933,193.35799999999995,192.32336769824056,0.6858792204656532,Consumer Cyclical,McDonald's Corporation,235000,New York Stock Exchange
358555,2019-11-12 00:00:00-05:00,MCK,144.83,2857797.0,56.8252620764757,145.93243886110727,139.66599999999997,133.39956113889266,0.6292129390189247,Healthcare,McKesson Corporation,78000,New York Stock Exchange
359679,2019-11-12 00:00:00-05:00,MDT,108.63,2742329.0,56.44339611687109,108.89674389660426,107.45799999999997,106.01925610339568,0.800078366246357,Healthcare,Medtronic plc.,86000,New York Stock Exchange
360803,2019-11-12 00:00:00-05:00,MRK,84.12,9395471.0,51.28796450840253,84.25293666826876,83.42400000000004,82.59506333173131,0.7261635994243383,Healthcare,Merck & Company Inc. (new),69000,New York Stock Exchange
361927,2019-11-12 00:00:00-05:00,MET,49.58,5744156.0,73.02662327678637,49.805164604070534,49.15199999999999,48.49883539592944,0.8520891216627737,Financial Services,MetLife Inc.,49000,New York Stock Exchange
363051,2019-11-12 00:00:00-05:00,MTD,711.45,143312.0,55.45527212241398,723.287005795627,710.26,697.232994204373,-0.01326923649368146,Healthcare,Mettler-Toledo International Inc.,15400,New York Stock Exchange
364175,2019-11-12 00:00:00-05:00,MGM,30.99,4798973.0,71.28437321627213,31.739204095551713,31.035999999999994,30.332795904448275,0.2369761282896579,Consumer Cyclical,MGM Resorts International,77000,New York Stock Exchange
365299,2019-11-12 00:00:00-05:00,MCHP,93.68,2028876.0,46.57520829475497,96.84679049348871,95.08800000000001,93.3292095065113,1.010450320455886,Technology,Microchip Technology Incorporated,14234,Nasdaq Global Select
366423,2019-11-12 00:00:00-05:00,MU,46.9,15777678.0,50.15265827760089,48.730193892795356,47.286000000000016,45.841806107204675,0.9947450881739238,Technology,Micron Technology Inc.,36000,Nasdaq Global Select
367547,2019-11-12 00:00:00-05:00,MSFT,147.07,21196803.0,66.53231844323342,147.80015597386625,145.49200000000027,143.1838440261343,1.1654790157862704,Technology,Microsoft Corporation,131000,Nasdaq Global Select
368671,2019-11-12 00:00:00-05:00,MAA,131.59,998378.0,39.07515690881087,137.425220169562,134.03000000000017,130.63477983043833,0.725102698964468,Real Estate,Mid-America Apartment Communities Inc.,2464,New York Stock Exchange
369795,2019-11-12 00:00:00-05:00,MHK,148.93,850574.0,72.5445336128759,153.1280056772408,150.6619999999999,148.195994322759,0.5727634790586582,Consumer Cyclical,Mohawk Industries Inc.,38800,New York Stock Exchange
370919,2019-11-12 00:00:00-05:00,TAP,52.67,1631622.0,36.99616741063834,54.737269589564264,53.552000000000135,52.366730410436006,0.3460272027009994,Consumer Defensive,Molson Coors Brewing Company Class B,17200,New York Stock Exchange
372043,2019-11-12 00:00:00-05:00,MDLZ,52.07,3971774.0,41.367376503638035,52.30704936391531,51.91200000000017,51.51695063608503,0.5569026138143234,Consumer Defensive,Mondelez International Inc.,83000,Nasdaq Global Select
373167,2019-11-12 00:00:00-05:00,MNST,58.4,3885179.0,64.11060232664953,59.34778990438366,57.44399999999996,55.54021009561626,0.39559345897845466,Consumer Defensive,Monster Beverage Corporation,2114,Nasdaq Global Select
374291,2019-11-12 00:00:00-05:00,MCO,217.46,513531.0,53.03168587877502,219.369584197752,217.54200000000006,215.7144158022481,0.9538704431187466,Financial Services,Moody's Corporation,12621,New York Stock Exchange
375415,2019-11-12 00:00:00-05:00,MS,49.01,6642376.0,74.71531034831007,49.37041998281681,48.89399999999996,48.41758001718311,0.8183191268497387,Financial Services,Morgan Stanley,58010,New York Stock Exchange
376539,2019-11-12 00:00:00-05:00,MOS,20.93,4517215.0,55.077104692319864,21.018559218203023,20.817999999999973,20.617440781796923,0.6023391928910408,Basic Materials,Mosaic Company (The),8500,New York Stock Exchange
377663,2019-11-12 00:00:00-05:00,MSI,161.12,1323075.0,42.79359244505886,165.712806058225,161.60600000000005,157.4991939417751,0.7223210751812607,Technology,Motorola Solutions Inc.,16000,New York Stock Exchange
378787,2019-11-12 00:00:00-05:00,MSCI,246.18,474672.0,64.51286946703354,248.612735657966,244.8279999999999,241.04326434203378,0.5821020830311281,Financial Services,MSCI Inc,3062,New York Stock Exchange
379911,2019-11-12 00:00:00-05:00,MYL,17.53,8813564.0,40.96606688153564,17.76178216950377,17.311999999999966,16.86221783049616,0.24350365759729747,Healthcare,Mylan N.V.,33417,Nasdaq Global Select
381035,2019-11-12 00:00:00-05:00,NDAQ,102.45,952607.0,62.28367210038205,103.3550409448374,101.21800000000012,99.08095905516284,0.5239375413024401,Financial Services,Nasdaq Inc.,4069,Nasdaq Global Select
382159,2019-11-12 00:00:00-05:00,NOV,22.68,2963211.0,52.7909766618318,23.863117407634206,23.220000000000006,22.576882592365806,0.42182414979339383,Energy,National Oilwell Varco Inc.,31889,New York Stock Exchange
383283,2019-11-12 00:00:00-05:00,NTAP,60.14,2143514.0,69.09243364844968,60.841757823503,59.24799999999999,57.65424217649698,0.5317759819466048,Technology,NetApp Inc.,10300,Nasdaq Global Select
384407,2019-11-12 00:00:00-05:00,NFLX,292.01,5920001.0,57.02785185584589,295.0971695594836,291.18399999999997,287.27083044051636,0.4941530970571755,Consumer Cyclical,Netflix Inc.,5500,Nasdaq Global Select
385531,2019-11-12 00:00:00-05:00,NWL,19.83,3752016.0,54.13013990387092,20.542671282639404,19.97699999999998,19.411328717360554,0.3721236358343009,Consumer Defensive,Newell Brands Inc.,49000,New York Stock Exchange
386655,2019-11-12 00:00:00-05:00,NEM,36.9,5088062.0,38.150374253854444,37.68971227206398,36.96000000000001,36.23028772793604,0.703895751678784,Basic Materials,Newmont Mining Corporation,12547,New York Stock Exchange
387779,2019-11-12 00:00:00-05:00,NWSA,13.12,4897743.0,38.6053924408397,13.64203225686582,13.207999999999995,12.77396774313417,0.6917214074990071,Consumer Cyclical,News Corporation,28000,Nasdaq Global Select
390027,2019-11-12 00:00:00-05:00,NEE,223.22,2171258.0,38.363592948526325,227.59486100379004,223.6200000000004,219.64513899621076,0.8355248908758026,Utilities,NextEra Energy Inc.,8700,New York Stock Exchange
391151,2019-11-12 00:00:00-05:00,NLSN,20.45,4617380.0,46.63379470463956,20.777352993361596,20.279999999999983,19.78264700663837,1.580913929878335,Industrials,Nielsen N.V.,46000,New York Stock Exchange
392275,2019-11-12 00:00:00-05:00,NKE,89.5,4734177.0,42.806772868838245,90.54282659705717,89.84800000000004,89.15317340294291,0.2353142292884859,Consumer Cyclical,Nike Inc.,73100,New York Stock Exchange
393399,2019-11-12 00:00:00-05:00,NI,26.09,4543353.0,25.918435684766244,27.231410297538673,26.471999999999987,25.7125897024613,1.060193883440062,Utilities,NiSource Inc,8175,New York Stock Exchange
394523,2019-11-12 00:00:00-05:00,NBL,21.25,5529545.0,53.46697641380238,21.731424741467762,21.091999999999988,20.452575258532214,0.8109694226955662,Energy,Noble Energy Inc.,2277,New York Stock Exchange
395647,2019-11-12 00:00:00-05:00,JWN,36.9,4751454.0,56.949598557388285,37.535154299984576,36.96800000000003,36.40084570001549,1.0745733089951957,Consumer Cyclical,Nordstrom Inc.,72500,New York Stock Exchange
396771,2019-11-12 00:00:00-05:00,NSC,193.01,1327032.0,60.7027034522561,196.46449245760587,194.19400000000007,191.92350754239428,0.6218281679784177,Industrials,Norfolk Southern Corporation,27110,New York Stock Exchange
397895,2019-11-12 00:00:00-05:00,NTRS,106.4,1004032.0,70.84049152213883,107.99187030001531,106.81999999999998,105.64812969998465,0.8690222982942932,Financial Services,Northern Trust Corporation,18100,Nasdaq Global Select
399019,2019-11-12 00:00:00-05:00,NOC,351.69,647869.0,48.72648996453016,354.701627543842,347.8500000000002,340.9983724561584,0.10349306374509232,Industrials,Northrop Grumman Corporation,70000,New York Stock Exchange
401267,2019-11-12 00:00:00-05:00,NCLH,51.26,1962619.0,50.254327471411244,52.5100458699472,51.855999999999995,51.20195413005279,-0.02372452803122624,Consumer Cyclical,Norwegian Cruise Line Holdings Ltd.,31000,New York Stock Exchange
402391,2019-11-12 00:00:00-05:00,NRG,38.74,2554585.0,41.96178315444595,40.329009119717135,39.068,37.80699088028286,0.4557995529276624,Utilities,NRG Energy Inc.,5940,New York Stock Exchange
403515,2019-11-12 00:00:00-05:00,NUE,55.3,1893049.0,61.13718992724153,55.70728122331451,55.39599999999998,55.08471877668545,0.6883427218348747,Basic Materials,Nucor Corporation,25100,New York Stock Exchange
404639,2019-11-12 00:00:00-05:00,NVDA,209.61,7436761.0,67.59092907708234,209.70830853722038,208.30800000000036,206.90769146278035,0.9328944680163713,Technology,NVIDIA Corporation,11528,Nasdaq Global Select
405763,2019-11-12 00:00:00-05:00,NVR,3588.06,49810.0,49.161050196675475,3655.5728186526594,3508.823999999998,3362.075181347336,0.4948290692131162,Consumer Cyclical,NVR Inc.,5200,New York Stock Exchange
406887,2019-11-12 00:00:00-05:00,ORLY,439.91,456390.0,68.67482153887262,441.0765844514879,440.03599999999994,438.99541554851197,0.47458692527932794,Consumer Cyclical,O'Reilly Automotive Inc.,75289,Nasdaq Global Select
408011,2019-11-12 00:00:00-05:00,OXY,38.44,13283481.0,37.48805964153009,40.37347492440888,39.211999999999826,38.05052507559077,0.7201586979352854,Energy,Occidental Petroleum Corporation,11000,New York Stock Exchange
409135,2019-11-12 00:00:00-05:00,OMC,79.09,1693399.0,57.87713984163238,81.16723809235992,79.59000000000003,78.01276190764014,0.7039477336262029,Consumer Cyclical,Omnicom Group Inc.,77300,New York Stock Exchange
410259,2019-11-12 00:00:00-05:00,OKE,70.2,2243956.0,47.176123981950745,70.94817449413449,70.22600000000003,69.50382550586556,0.4671988734727319,Energy,ONEOK Inc.,2470,New York Stock Exchange
411383,2019-11-12 00:00:00-05:00,ORCL,56.59,7368696.0,63.64475299814928,56.91933985643493,56.2380000000001,55.55666014356527,0.4919366835902238,Technology,Oracle Corporation,137000,New York Stock Exchange
412507,2019-11-12 00:00:00-05:00,PCAR,79.43,1296127.0,70.45321273111368,80.23307272129041,79.79299999999994,79.35292727870946,0.9543345849072089,Industrials,PACCAR Inc.,25000,Nasdaq Global Select
413631,2019-11-12 00:00:00-05:00,PKG,113.71,480187.0,64.42222546939568,114.46490225471668,113.31400000000008,112.16309774528348,1.2542603526479246,Consumer Cyclical,Packaging Corporation of America,14600,New York Stock Exchange
414755,2019-11-12 00:00:00-05:00,PH,197.54,826113.0,62.65071291279843,200.25287060331752,198.85800000000015,197.46312939668277,0.8517877947680874,Industrials,Parker-Hannifin Corporation,57170,New York Stock Exchange
415879,2019-11-12 00:00:00-05:00,PAYX,83.04,1383461.0,46.644738221101896,83.33187998199467,82.93199999999996,82.53212001800524,0.8112151138955708,Industrials,Paychex Inc.,14500,Nasdaq Global Select
417003,2019-11-12 00:00:00-05:00,PYPL,102.03,7190887.0,47.95111369007399,103.10732678688325,101.44399999999999,99.78067321311673,0.8848706574922485,Financial Services,PayPal Holdings Inc.,18700,Nasdaq Global Select
418127,2019-11-12 00:00:00-05:00,PNR,43.14,1127619.0,73.07017590433185,43.42274002225163,43.144000000000005,42.86525997774838,1.0158008057734602,Industrials,Pentair plc.,18400,New York Stock Exchange
419251,2019-11-12 00:00:00-05:00,PBCT,16.77,2650148.0,56.54446490040756,17.007699718231933,16.847999999999978,16.688300281768022,0.9955459619830075,Financial Services,People's United Financial Inc.,5584,Nasdaq Global Select
420375,2019-11-12 00:00:00-05:00,PEP,131.98,3769829.0,32.52657911968323,134.74714129205555,133.05199999999994,131.35685870794433,0.9843561741472614,Consumer Defensive,PepsiCo Inc.,263000,Nasdaq Global Select
421499,2019-11-12 00:00:00-05:00,PKI,87.92,670025.0,60.02356749481675,88.41970301432512,87.17400000000012,85.92829698567512,1.04853082878978,Healthcare,PerkinElmer Inc.,11000,New York Stock Exchange
422623,2019-11-12 00:00:00-05:00,PRGO,48.29,1171901.0,29.293296737391326,51.09575255759921,49.54399999999991,47.99224744240061,0.46006439002508553,Healthcare,Perrigo Company plc,10400,New York Stock Exchange
423747,2019-11-12 00:00:00-05:00,PFE,36.97,14799682.0,49.30611837146211,37.61883902292505,37.09400000000008,36.56916097707511,0.7693264404539444,Healthcare,Pfizer Inc.,90200,New York Stock Exchange
424871,2019-11-12 00:00:00-05:00,PM,84.46,4012235.0,67.1173674616636,84.97980500068435,83.54400000000001,82.10819499931567,1.0009625081217048,Consumer Defensive,Philip Morris International Inc,80600,New York Stock Exchange
425995,2019-11-12 00:00:00-05:00,PSX,118.1,2552174.0,68.19645472764856,120.16102990118522,118.84000000000017,117.51897009881513,0.5647188202034003,Energy,Phillips 66,14600,New York Stock Exchange
427119,2019-11-12 00:00:00-05:00,PNW,85.61,1683269.0,24.173437760911646,91.57017256905927,87.224,82.87782743094074,1.2671490638346663,Utilities,Pinnacle West Capital Corporation,3934,New York Stock Exchange
428243,2019-11-12 00:00:00-05:00,PXD,136.13,1371300.0,58.619238891324954,137.45133971766765,134.98000000000005,132.50866028233244,0.7477759533790765,Energy,Pioneer Natural Resources Company,3836,New York Stock Exchange
429367,2019-11-12 00:00:00-05:00,PNC,152.3,1357377.0,71.62593081856876,153.22667172468292,152.34800000000018,151.46932827531745,0.731937129305744,Financial Services,PNC Financial Services Group Inc. (The),52906,New York Stock Exchange
430491,2019-11-12 00:00:00-05:00,PPG,130.25,898968.0,70.94668307223147,130.54332396995989,129.5940000000001,128.64467603004033,0.667862006427833,Basic Materials,PPG Industries Inc.,47200,New York Stock Exchange
431615,2019-11-12 00:00:00-05:00,PPL,33.73,5511449.0,66.84475947825491,33.94067905207447,33.52799999999994,33.11532094792541,0.6064427284227789,Utilities,PPL Corporation,12512,New York Stock Exchange
432739,2019-11-12 00:00:00-05:00,PFG,55.87,1256903.0,52.416817508220426,56.457761019844526,55.77999999999996,55.10223898015539,1.4294904193352294,Financial Services,Principal Financial Group Inc,15378,Nasdaq Global Select
433863,2019-11-12 00:00:00-05:00,PG,119.27,6069221.0,43.30106895503666,120.39583955504047,119.64799999999995,118.90016044495944,0.4190671420556836,Consumer Defensive,Procter & Gamble Company (The),92000,New York Stock Exchange
434987,2019-11-12 00:00:00-05:00,PGR,74.46,5363819.0,61.51884959836953,75.53047149952617,73.07000000000006,70.60952850047396,0.5565064414806928,Financial Services,Progressive Corporation (The),33656,New York Stock Exchange
436111,2019-11-12 00:00:00-05:00,PLD,86.63,2853073.0,46.69116324552909,87.79750298804284,87.17000000000003,86.54249701195722,1.0719576139544873,Real Estate,Prologis Inc.,1565,New York Stock Exchange
437235,2019-11-12 00:00:00-05:00,PRU,93.31,3480493.0,58.31973632070454,94.07748788945152,92.16799999999998,90.25851211054844,0.6544917196525911,Financial Services,Prudential Financial Inc.,49705,New York Stock Exchange
438359,2019-11-12 00:00:00-05:00,PEG,60.45,2057586.0,35.22322002994779,62.198932906737035,61.177999999999905,60.157067093262775,0.7180987903516521,Utilities,Public Service Enterprise Group Incorporated,12945,New York Stock Exchange
439483,2019-11-12 00:00:00-05:00,PSA,209.17,1630862.0,14.945714633446041,216.27243064870652,212.1899999999992,208.1075693512919,1.052908698946963,Real Estate,Public Storage,5600,New York Stock Exchange
440607,2019-11-12 00:00:00-05:00,PHM,38.77,4342068.0,54.017397083626726,39.20324146357236,38.526000000000025,37.84875853642769,0.4849149856346301,Consumer Cyclical,PulteGroup Inc.,4810,New York Stock Exchange
441731,2019-11-12 00:00:00-05:00,PVH,96.88,625104.0,64.2395541334557,99.89676661961636,96.48400000000007,93.07123338038377,0.6570712550606496,Consumer Cyclical,PVH Corp.,36500,New York Stock Exchange
442855,2019-11-12 00:00:00-05:00,QRVO,102.58,2025421.0,81.66413594370663,104.30254896326316,102.32399999999996,100.34545103673675,0.7925775703321375,Technology,Qorvo Inc.,8200,Nasdaq Global Select
443979,2019-11-12 00:00:00-05:00,PWR,42.65,1198919.0,67.00196719059824,43.45050820100837,42.97799999999995,42.505491798991535,0.6967432551114682,Industrials,Quanta Services Inc.,32800,New York Stock Exchange
445103,2019-11-12 00:00:00-05:00,QCOM,90.97,10132487.0,68.0158146256859,96.5499808306444,90.28999999999992,84.03001916935544,0.6416310563992903,Technology,QUALCOMM Incorporated,33800,Nasdaq Global Select
446227,2019-11-12 00:00:00-05:00,DGX,101.92,803575.0,48.870112331013985,102.18764953793163,101.40599999999976,100.6243504620679,0.6106554778641224,Healthcare,Quest Diagnostics Incorporated,45000,New York Stock Exchange
447351,2019-11-12 00:00:00-05:00,RL,111.36,1656019.0,68.53645396978068,121.7583834205686,111.13800000000006,100.51761657943152,0.838773797186512,Consumer Cyclical,Ralph Lauren Corporation,23500,New York Stock Exchange
448475,2019-11-12 00:00:00-05:00,RJF,89.62,479338.0,70.91683211667794,89.92805660182435,89.08000000000011,88.23194339817587,0.22030952374304932,Financial Services,Raymond James Financial Inc.,12700,New York Stock Exchange
449599,2019-11-12 00:00:00-05:00,RTN,216.88,999531.0,70.65955699125905,217.09635920321693,215.81000000000023,214.52364079678352,0.2492338801854217,Industrials,Raytheon Company,64000,New York Stock Exchange
450723,2019-11-12 00:00:00-05:00,O,75.76,2534663.0,34.313762888776225,79.14834200444542,77.00199999999998,74.85565799555454,0.8401326366070101,Real Estate,Realty Income Corporation,166,New York Stock Exchange
451847,2019-11-12 00:00:00-05:00,REG,64.81,1401649.0,31.772698192676074,66.85638356724377,65.318,63.77961643275623,0.3534127596907274,Real Estate,Regency Centers Corporation - Ordinary Shares,446,Nasdaq Global Select
452971,2019-11-12 00:00:00-05:00,REGN,348.41,952721.0,77.6994901358234,356.5692178528073,337.07200000000006,317.5747821471928,0.30751150210467926,Healthcare,Regeneron Pharmaceuticals Inc.,6200,Nasdaq Global Select
454095,2019-11-12 00:00:00-05:00,RF,16.69,10240428.0,58.52125492035468,17.11479240495072,16.861999999999988,16.609207595049256,0.815554396242653,Financial Services,Regions Financial Corporation,20326,New York Stock Exchange
455219,2019-11-12 00:00:00-05:00,RSG,86.02,804927.0,46.74108433007327,86.45353475667899,85.9680000000001,85.48246524332122,0.48223709988887975,Industrials,Republic Services Inc.,35000,New York Stock Exchange
456343,2019-11-12 00:00:00-05:00,RMD,144.15,435713.0,61.37373387757032,144.8725545009561,143.46199999999985,142.05144549904358,0.8153337356392183,Healthcare,ResMed Inc.,5940,New York Stock Exchange
457467,2019-11-12 00:00:00-05:00,RHI,57.52,1085321.0,54.17109584096866,58.44373021495418,57.96199999999999,57.4802697850458,0.5413354628781779,Industrials,Robert Half International Inc.,228600,New York Stock Exchange
458591,2019-11-12 00:00:00-05:00,ROK,198.01,4435893.0,78.27292989430154,198.03788804128334,182.30000000000013,166.5621119587169,0.7651940713097639,Industrials,Rockwell Automation Inc.,22000,New York Stock Exchange
459715,2019-11-12 00:00:00-05:00,ROL,37.5,1263786.0,53.156341988597866,39.309016401978795,38.36399999999998,37.41898359802117,-0.11681696561329313,Industrials,Rollins Inc.,13000,New York Stock Exchange
460839,2019-11-12 00:00:00-05:00,ROP,343.28,517142.0,52.75476515584062,345.91796048152986,340.6040000000004,335.2900395184709,-0.009330308837105516,Industrials,Roper Technologies Inc.,14236,New York Stock Exchange
461963,2019-11-12 00:00:00-05:00,ROST,110.97,1473608.0,50.79653255517507,113.42240963006901,112.05999999999997,110.69759036993094,0.4767538374783901,Consumer Cyclical,Ross Stores Inc.,82700,Nasdaq Global Select
463087,2019-11-12 00:00:00-05:00,RCL,113.85,1291541.0,58.33102703845599,115.50766573436506,114.01799999999992,112.52833426563477,0.31182869070546687,Consumer Cyclical,Royal Caribbean Cruises Ltd.,66100,New York Stock Exchange
464211,2019-11-12 00:00:00-05:00,CRM,162.86,3879744.0,68.33032072872773,163.7315856056986,160.83600000000015,157.9404143943017,0.7033255766609476,Technology,Salesforce.com Inc,29000,New York Stock Exchange
465335,2019-11-12 00:00:00-05:00,SBAC,226.39,697176.0,34.90331462486396,231.97020660577903,228.3399999999996,224.70979339422018,1.8773946864635807,Communication Services,SBA Communications Corporation,1291,Nasdaq Global Select
466459,2019-11-12 00:00:00-05:00,SLB,36.21,13542252.0,58.716460090579915,36.72385428703673,36.12000000000012,35.51614571296351,0.7545443406671049,Energy,Schlumberger N.V.,95000,New York Stock Exchange
467583,2019-11-12 00:00:00-05:00,STX,57.97,1806317.0,62.61922848632297,58.85085310381897,58.194,57.537146896181035,0.5793544085874293,Technology,Seagate Technology PLC,43000,Nasdaq Global Select
468707,2019-11-12 00:00:00-05:00,SEE,38.47,1429797.0,35.93970066419946,40.2317716583507,39.10199999999999,37.97222834164928,0.24130731522992618,Consumer Cyclical,Sealed Air Corporation,15000,New York Stock Exchange
