,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
204567,2019-11-12 00:00:00-05:00,ESS,309.03,532597.0,25.032020037552932,319.83715690952727,314.02800000000025,308.21884309047323,0.8025510549522105,Real Estate,Essex Property Trust Inc.,1835,New York Stock Exchange
205691,2019-11-12 00:00:00-05:00,EL,187.95,1098507.0,48.81743914167445,187.96954242155292,187.33600000000007,186.70245757844722,0.805905876513049,Consumer Defensive,Estee Lauder Companies Inc. (The),46000,New York Stock Exchange
207939,2019-11-12 00:00:00-05:00,ES,79.19,1536766.0,27.348026323736413,81.3974229768999,79.73399999999985,78.0705770230998,0.7190740961462138,Utilities,Eversource Energy (D/B/A),8084,New York Stock Exchange
209063,2019-11-12 00:00:00-05:00,RE,269.75,320500.0,71.3617643243434,270.8924866717857,265.40600000000006,259.9195133282144,0.044103259394902034,Financial Services,Everest Re Group Ltd.,1276,New York Stock Exchange
210187,2019-11-12 00:00:00-05:00,EXC,44.32,4907100.0,38.018569500956666,45.1128789527179,44.513999999999974,43.91512104728205,0.45828013735741335,Utilities,Exelon Corporation,34621,New York Stock Exchange
211311,2019-11-12 00:00:00-05:00,EXPE,95.66,8356305.0,15.646011826674766,135.58157350749337,105.93999999999987,76.29842649250637,1.0975825406182491,Consumer Cyclical,Expedia Group Inc.,22615,Nasdaq Global Select
212435,2019-11-12 00:00:00-05:00,EXPD,76.43,730160.0,57.925898120669274,77.56041020646336,76.90200000000004,76.24358979353673,0.1643676118168392,Industrials,Expeditors International of Washington Inc.,16500,Nasdaq Global Select
213559,2019-11-12 00:00:00-05:00,EXR,104.47,835299.0,25.513898118744088,109.84129137840632,106.65800000000027,103.47470862159422,0.9561177793893328,Real Estate,Extra Space Storage Inc,3380,New York Stock Exchange
214683,2019-11-12 00:00:00-05:00,XOM,69.37,15993701.0,47.82448974753336,73.43329686332098,70.99600000000005,68.55870313667913,0.826747212985847,Energy,Exxon Mobil Corporation,71200,New York Stock Exchange
215807,2019-11-12 00:00:00-05:00,FFIV,146.41,408045.0,62.58320707969948,148.92753931346536,147.60800000000012,146.28846068653488,0.605136593697519,Technology,F5 Networks Inc.,4366,Nasdaq Global Select
