,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol,Market Cap,Reward,RISK,Reward_Risk
363,2019-11-12 00:00:00-05:00,MMM,170.84,2086519.0,55.72109077134137,176.01315118616662,172.52400000000003,169.03484881383343,1.2633746086088158,Industrials,3M Company,91536,New York Stock Exchange,97531212848.56323,44.27890922865863,-0.6629323189724959,0.5561288801223158
727,2019-11-12 00:00:00-05:00,ABT,84.34,4604714.0,60.08854787981966,84.491121184716,83.67,82.84887881528401,0.6629987850993471,Healthcare,Abbott Laboratories,99000,New York Stock Exchange,145435497191.44946,39.91145212018034,-0.6773794611630702,0.5998000880493107
1091,2019-11-12 00:00:00-05:00,ABBV,86.44,14549417.0,80.55900522956678,88.01393090456062,84.27999999999999,80.54606909543935,0.4554283446330058,Healthcare,AbbVie Inc.,30000,New York Stock Exchange,128049871756.26614,19.44099477043322,-0.6823743319599122,0.8044855004944789
1455,2019-11-12 00:00:00-05:00,ABMD,223.54,580949.0,74.51081120080448,225.09984572018783,219.3960000000001,213.69215427981243,0.3977226404194832,Healthcare,ABIOMED Inc.,208,Nasdaq Global Select,10099620435.760023,25.489188799195517,-0.6837629330349966,0.7440089528244045
1819,2019-11-12 00:00:00-05:00,ACN,191.43,2057583.0,60.13755107326671,191.57806205123097,189.90200000000016,188.22593794876943,0.8986443368051568,Technology,Accenture plc Class A (Ireland),459000,New York Stock Exchange,120461238782.67764,39.86244892673329,-0.6717090049941828,0.6002894292543133
2183,2019-11-12 00:00:00-05:00,ATVI,51.95,12995973.0,36.45155784494881,57.07727617378577,53.93600000000002,50.79472382621426,0.7368413058961443,Technology,Activision Blizzard Inc,9800,Nasdaq Global Select,41679316173.7181,63.54844215505119,-0.6756025518407964,0.36346602121481136
2547,2019-11-12 00:00:00-05:00,ADBE,291.72,2255753.0,65.19053163456033,293.99535938773636,290.52400000000057,287.05264061226484,0.3750590165358988,Technology,Adobe Inc.,17973,Nasdaq Global Select,143030160674.88336,34.80946836543967,-0.6843082990940192,0.650815198539684
2911,2019-11-12 00:00:00-05:00,AMD,36.71,60882182.0,77.1243924639564,36.79838446578228,36.304,35.80961553421772,0.9139114834483444,Technology,Advanced Micro Devices Inc.,8900,Nasdaq Global Select,38162161372.36786,22.875607536043603,-0.6713416240475131,0.7701413495795144
3275,2019-11-12 00:00:00-05:00,AAP,156.14,4352720.0,38.19503888482899,176.51382959061775,166.26800000000003,156.02217040938228,0.9487793119568294,Consumer Cyclical,Advance Auto Parts Inc W/I,71000,New York Stock Exchange,11371463686.32431,61.80496111517101,-0.6705025821397393,0.38089623440608844
3639,2019-11-12 00:00:00-05:00,AES,18.06,10043272.0,71.69314429236394,18.149652244733645,17.776000000000018,17.402347755266398,0.6166788207724209,Utilities,The AES Corporation,21000,New York Stock Exchange,11891685744.394585,28.30685570763606,-0.6784940815136727,0.7158343762975318
4003,2019-11-12 00:00:00-05:00,AMG,86.28,666476.0,62.494775320036744,87.59107587658029,86.59599999999996,85.60092412341963,0.7583270177271915,Financial Services,Affiliated Managers Group Inc.,4400,New York Stock Exchange,4541810209.348622,37.505224679963256,-0.6750855304656279,0.6238594828288853
4367,2019-11-12 00:00:00-05:00,AFL,53.97,2600303.0,61.150270750783406,54.325267474772865,53.9979999999999,53.670732525226924,0.7040073875781684,Financial Services,AFLAC Incorporated,11318,New York Stock Exchange,40809695343.592316,38.849729249216594,-0.676392650755574,0.6104160321883678
4731,2019-11-12 00:00:00-05:00,A,77.05,1146709.0,59.24778064080329,77.46122455555708,76.44800000000006,75.43477544444305,0.7062139283286981,Healthcare,Agilent Technologies Inc.,13500,New York Stock Exchange,24842630079.265747,40.75221935919671,-0.6763395536675103,0.5913932444715297
5095,2019-11-12 00:00:00-05:00,APD,237.01,1266913.0,73.22392970192226,243.68924593220245,230.46800000000027,217.246754067798,0.30216525791788784,Basic Materials,Air Products and Chemicals Inc.,15300,New York Stock Exchange,50948520320.679665,26.77607029807774,-0.6860623778798769,0.7311415254376687
5459,2019-11-12 00:00:00-05:00,AKAM,84.72,1272882.0,34.530138147246646,87.58028611012621,85.51799999999996,83.4557138898737,-0.10201888711191666,Technology,Akamai Technologies Inc.,7650,Nasdaq Global Select,13717042440.869041,65.46986185275335,-0.6957884620854131,0.34426024203162786
5823,2019-11-12 00:00:00-05:00,ALK,70.84,593425.0,60.44544255290069,72.00648016366334,71.244,70.48151983633666,0.2876411591327967,Industrials,Alaska Air Group Inc.,21655,New York Stock Exchange,8698593417.379028,39.55455744709931,-0.6864118784961936,0.6033696559410552
6187,2019-11-12 00:00:00-05:00,ALB,65.31,2183056.0,47.35285894583493,71.85474868911459,67.82599999999995,63.797251310885315,0.681702749573932,Basic Materials,Albemarle Corporation,5400,New York Stock Exchange,7054452981.886513,52.64714105416507,-0.676929378358749,0.4724595493646169
6551,2019-11-12 00:00:00-05:00,ARE,154.73,1489814.0,46.86826895428091,155.60429846605214,154.5319999999997,153.45970153394728,0.6585300039317121,Real Estate,Alexandria Real Estate Equities Inc.,323,New York Stock Exchange,16502138795.359438,53.13173104571909,-0.6774869956679908,0.46761446410794383
6915,2019-11-12 00:00:00-05:00,ALXN,109.44,1428294.0,58.48565060405046,111.56736774429537,108.78400000000006,106.00063225570473,0.5947774829630877,Healthcare,Alexion Pharmaceuticals Inc.,2525,Nasdaq Global Select,24633876464.55842,41.51434939594954,-0.679021104303574,0.5837731256628577
